#samplename	replicate_id	replicate_label	bam_file
Casing_C_26	0	Veg	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Casing_C_26.bam
Casing_C_27	0	Veg	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Casing_C_27.bam
Initials_I272	1	Initials	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Initials_I272.bam
Initials_I2611	1	Initials	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Initials_I2611.bam
Pileal_Stipeal_A2611	2	PS_stipe_center	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Pileal_Stipeal_A2611.bam
Pileal_Stipeal_A2711	2	PS_stipe_center	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Pileal_Stipeal_A2711.bam
Pileal_Stipeal_A2612	3	PS_stipe_shell	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Pileal_Stipeal_A2612.bam
Pileal_Stipeal_A2712	3	PS_stipe_shell	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Pileal_Stipeal_A2712.bam
Different_D2641	4	DIF_stipe_center	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2641.bam
Different_D2721	4	DIF_stipe_center	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2721.bam
Different_D2642	5	DIF_stipe_shell	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2642.bam
Different_D2722	5	DIF_stipe_shell	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2722.bam
Different_D2643	6	DIF_stipe_skin	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2643.bam
Different_D2723	6	DIF_stipe_skin	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2723.bam
Different_D2644	7	DIF_cap_skin	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2644.bam
Different_D2724	7	DIF_cap_skin	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2724.bam
Different_D2645	8	DIF_cap_tissue	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2645.bam
Different_D2725	8	DIF_cap_tissue	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2725.bam
Different_D2646	9	DIF_gill_tissue	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2646.bam
Different_D2726	9	DIF_gill_tissue	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/Different_D2726.bam
YFB_F2631	10	YFB_stipe_center	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2631.bam
YFB_F2731	10	YFB_stipe_center	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2731.bam
YFB_F2632	11	YFB_stipe_shell	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2632.bam
YFB_F2732	11	YFB_stipe_shell	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2732.bam
YFB_F2633	12	YFB_stipe_skin	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2633.bam
YFB_F2733	12	YFB_stipe_skin	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2733.bam
YFB_F2634	13	YFB_cap_skin	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2634.bam
YFB_F2734	13	YFB_cap_skin	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2734.bam
YFB_F2635	14	YFB_cap_tissue	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2635.bam
YFB_F2735	14	YFB_cap_tissue	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2735.bam
YFB_F2636	15	YFB_gill_tissue	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2636.bam
YFB_F2736	15	YFB_gill_tissue	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2736.bam
YFB_F2637	16	YFB_veil	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2637.bam
YFB_F2737	16	YFB_veil	/home/nfs/thiesgehrmann/bulk/unaligned_bam/agabi/YFB_F2737.bam
